date,ticker,name,open,high,low,close,volume,amount
2026-07-13,M04020000,국내 금,198000,198000,195480,195510,247653,"48,577백만"
2026-07-14,M04020000,국내 금,193200,193240,191300,192980,300763,"57,669백만"
2026-07-15,M04020000,국내 금,192980,193850,192500,193620,245381,"47,513백만"
2026-07-16,M04020000,국내 금,193620,194980,193200,194540,228974,"44,539백만"
2026-07-17,M04020000,국내 금,194540,195260,193980,194130,214586,"41,649백만"
2026-07-20,M04020000,국내 금,194130,195720,193900,195460,236913,"46,307백만"
2026-07-21,M04020000,국내 금,195460,196340,194880,195930,251664,"49,305백만"
2026-07-22,M04020000,국내 금,195930,196810,195200,196480,263152,"51,705백만"
2026-07-23,M04020000,국내 금,196480,197250,195730,196120,244887,"48,027백만"
2026-07-24,M04020000,국내 금,196120,197840,195910,197630,286344,"56,594백만"
2026-07-27,M04020000,국내 금,197630,198120,196540,197180,223694,"44,103백만"
2026-07-28,M04020000,국내 금,197180,198860,196950,198430,291753,"57,891백만"
2026-07-29,M04020000,국내 금,198430,199140,197620,198060,233546,"46,268백만"
2026-07-30,M04020000,국내 금,198060,199760,197850,199340,305487,"60,885백만"
2026-07-31,M04020000,국내 금,199340,200210,198780,199960,274861,"54,962백만"
2026-08-03,M04020000,국내 금,199960,201050,199520,200740,268332,"53,860백만"
2026-08-04,M04020000,국내 금,200740,201620,199980,200280,241782,"48,426백만"
2026-08-05,M04020000,국내 금,200280,202050,200010,201760,315287,"63,604백만"
2026-08-06,M04020000,국내 금,201760,202640,201020,202150,256613,"51,865백만"
2026-08-07,M04020000,국내 금,202150,203120,201430,202980,271948,"55,199백만"
2026-08-10,M04020000,국내 금,202980,203860,202200,203430,238612,"48,545백만"
2026-08-11,M04020000,국내 금,203430,204770,202910,204260,289373,"59,095백만"
2026-08-12,M04020000,국내 금,204260,205120,203640,204810,252518,"51,718백만"
2026-08-13,M04020000,국내 금,204810,205940,204250,205660,278126,"57,201백만"
2026-08-14,M04020000,국내 금,205660,206180,204830,205240,219775,"45,106백만"
2026-08-17,M04020000,국내 금,205240,206920,204980,206350,312540,"64,494백만"
2026-08-18,M04020000,국내 금,206350,207310,205740,206890,246581,"51,015백만"
2026-08-19,M04020000,국내 금,206890,207640,206050,206420,227548,"46,968백만"
2026-08-20,M04020000,국내 금,206420,208010,206120,207860,303448,"63,081백만"
2026-08-21,M04020000,국내 금,207860,208720,207130,208250,281772,"58,687백만"
2026-08-24,M04020000,국내 금,208250,209130,207640,208820,259604,"54,221백만"
2026-08-25,M04020000,국내 금,208820,209760,208030,209310,248195,"51,950백만"
2026-08-26,M04020000,국내 금,209310,210580,208920,210140,296730,"62,349백만"
2026-08-27,M04020000,국내 금,210140,210960,209560,210620,238711,"50,277백만"
2026-08-28,M04020000,국내 금,210620,211480,209920,210030,221539,"46,523백만"
2026-08-31,M04020000,국내 금,210030,211860,209880,211350,318046,"67,205백만"
2026-09-01,M04020000,국내 금,211350,212150,210660,211920,247634,"52,477백만"
2026-09-02,M04020000,국내 금,211920,213140,211520,212760,287591,"61,173백만"
2026-09-03,M04020000,국내 금,212760,213530,211940,212320,231886,"49,224백만"
2026-09-04,M04020000,국내 금,212320,214180,212020,213760,325517,"69,561백만"
2026-09-07,M04020000,국내 금,213760,214540,212930,213280,243470,"51,919백만"
2026-09-08,M04020000,국내 금,213280,214760,212880,214210,282814,"60,580백만"
2026-09-09,M04020000,국내 금,214210,215080,213450,214780,256343,"55,059백만"
2026-09-10,M04020000,국내 금,214780,216020,214310,215660,298706,"64,429백만"
2026-09-11,M04020000,국내 금,215660,216380,214840,215190,236451,"50,879백만"
2026-09-14,M04020000,국내 금,215190,216920,214980,216310,311864,"67,464백만"
2026-09-15,M04020000,국내 금,216310,217150,215620,216890,274296,"59,490백만"
